Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,RW16-5178,Unknown,5,Nitrate-Nitrite,0.104,mg/L,,,,,,0.104,mg/L
140,RW16-5178,Unknown,5,Total Phosphorus,0.0688,mg/L,,,,,,68.8,ppb
140,RW16-5179,Unknown,5,Chloride,61.2,mg/L,,,,,,61.2,mg/L
140,RW16-5179,Unknown,5,Sulfate,51.7,mg/L,,,,,,51.7,mg/L
140,RW16-5179,Unknown,5,TSS,5.7,mg/L,,,,,,5.7,mg/L
140,RW16-5179,Unknown,5,Nitrate-Nitrite,0.695,mg/L,,,,,,0.695,mg/L
140,RW16-5179,Unknown,5,Total Phosphorus,0.0817,mg/L,,,,,,81.7,ppb
140,RW16-5180,Unknown,5,Chloride,9.5,mg/L,,,,,,9.5,mg/L
140,RW16-5180,Unknown,5,Sulfate,137,mg/L,,,,,,137,mg/L
140,RW16-5180,Unknown,5,TSS,4.5,mg/L,,,,,,4.45,mg/L
140,RW16-5180,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0317,mg/L
140,RW16-5180,Unknown,5,Total Phosphorus,0.0391,mg/L,,,,,,39.1,ppb
140,RW16-5181,Unknown,5,Chloride,6.73,mg/L,,,,,,6.73,mg/L
140,RW16-5181,Unknown,5,Sulfate,33,mg/L,,,,,,33,mg/L
140,RW16-5181,Unknown,5,TSS,0,mg/L,,,,,,2.3,mg/L
140,RW16-5181,Unknown,5,Nitrate-Nitrite,0.679,mg/L,,,,,,0.679,mg/L
140,RW16-5181,Unknown,5,Total Phosphorus,0.0752,mg/L,,,,,,75.2,ppb
140,RW16-5182,Unknown,5,Chloride,7.92,mg/L,,,,,,7.92,mg/L
140,RW16-5182,Unknown,5,Sulfate,91.4,mg/L,,,,,,91.4,mg/L
140,RW16-5182,Unknown,5,TSS,14,mg/L,,,,,,14.05,mg/L
140,RW16-5182,Unknown,5,Nitrate-Nitrite,0,mg/L,,,,,,-0.0332,mg/L
